Ecozone,FluxID,Source,Sink,ProcessSynonym,Pseudocode,Notes,SeverityClass,Value
BP,1,Softwood Merchantable,Softwood Merchantable,Survival rate of large conifers,"f(severity class,ecozone)",Ellen provides,Low,
BP,2,Softwood Merchantable,Softwood Stem Snag,Mortality rate of large conifers,mortality rate of conifers,Note: not accounting for trees killed that immediately fall to ground,Low,
BP,3,Softwood Merchantable,Black Carbon,Live conifer to BC rate,0,live stemwood to BC should be precisely 0,Low,
BP,4,Softwood Foliage,Softwood Foliage,Green fraction of canopy remaining intact after fire,(1-Mortality)*(1-CFB),Ellen provides,Low,
BP,5,Softwood Foliage,Above Ground Very Fast soil C,Post-fire litterfall (heat-killed but not burned),Mortality-CFB,Ellen provides,Low,
BP,6,Softwood Foliage,CO2,Crown Fraction Burned,CFB*FlamingCO2,Ellen provides,Low,
BP,7,Softwood Foliage,CH4,Crown Fraction Burned,CFB*FlamingCH4,Ellen provides,Low,
BP,8,Softwood Foliage,CO,Crown Fraction Burned,CFB*FlamingCO,Ellen provides,Low,
BP,9,Softwood Other,Softwood Other,"unconsumed Live branches, stumps and small trees including bark","(1-(mortality rate of conifers)*branch fraction of ""other"" pool)+(1-(medium DOM consumption rate)*stump fraction of other pool)+(1-(global mortality of submerch conifers in severity class)*small tree fraction of other pool)+(1-CFB*bark fraction of other pool)","Note: unconsumed but dead bark remains in ""other"" pool here?",Low,
BP,10,Softwood Other,Softwood Branch Snag,"Portion of ""other"" pool as killed by fire but unconsumed branches",[CFB*(branch fract of other)+(fraction of branches consumed)]+[(mort-CFB)*(brach fract of other)],"Note: taking into account that large diameter branches don't get consumed in a crown fire, so they convert to snags. Also: given the mortality-CFB can sometimes be positive or negative, enforcing a min value of zero here.",Low,
BP,11,Softwood Other,CO2,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO2,Assuming small trees (<1.3 height?) burn alongside litter,Low,
BP,12,Softwood Other,CH4,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCH4,,Low,
BP,13,Softwood Other,CO,"Proportional Combustion sum of branches, stumps, small trees and bark",(softwood other)-(softwood other:other)-(softwood other:softwood other snag)*FlamingCO,,Low,
BP,14,Softwood Submerchantable,Softwood Submerchantable,Understory conifer survival rate,1-(global mortality of submerch conifers in severity class),,Low,
BP,15,Softwood Submerchantable,Softwood Branch Snag,Understory conifer branches killed but not consumed,0,all gets combusted; submerch trees don't have sufficiently large branches to survive IF killed,Low,
BP,16,Softwood Submerchantable,CO2,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO2,all but snag should be 100% consumption,Low,
BP,17,Softwood Submerchantable,CH4,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCH4,,Low,
BP,18,Softwood Submerchantable,CO,Understory Conifer consumption rate,(softwood submerch branch fraction of total biomass) * (global mortality of submerch conifers in severity class)*FlamingCO,,Low,
BP,19,Softwood Coarse Roots,Softwood Coarse Roots,Surviving coarse roots in conifers,1-(conifer mortality rate),,Low,
BP,20,Softwood Coarse Roots,Above Ground Fast soil C,Coarse Roots killed in fire but not combusted in organic soil,(conifer mortality rate)*(conifer coarse root fraction in organic soil),"Note: assuming even if duff burns, coarse live roots don't burn alongside",Low,
BP,21,Softwood Coarse Roots,Below Ground Fast soil C,Coarse Roots killed in fire but not combusted in mineral soil,(conifer mortality rate)*(conifer coarse root fraction in mineral soil),,Low,
BP,22,Softwood Fine Roots,Softwood Fine Roots,Surviving fine roots,1-(conifer mortality rate),,Low,
BP,23,Softwood Fine Roots,Above Ground Very Fast soil C,Fine roots killed but not burned in organic soil,(conifer mortality rate)*(fine root fraction in organic soil)*(1-fraction of duff consumed),,Low,
BP,24,Softwood Fine Roots,Below Ground Very Fast soil C,Fine roots killed but not burned in mineral soil,(conifer mortality rate)*(fine root fraction in mineral soil),,Low,
BP,25,Softwood Fine Roots,CO2,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO2,,Low,
BP,26,Softwood Fine Roots,CH4,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCH4,,Low,
BP,27,Softwood Fine Roots,CO,Fine roots combusted alongside duff,(fraction of duff consumed)*(coarse root fraction in organic soil)*SmoulderingCO,,Low,
BP,28,Hardwood Merchantable,Hardwood Merchantable,Survival rate of broadleaf trees,"f(severity class,ecozone)",Ellen provides,Low,
BP,29,Hardwood Merchantable,Hardwood Stem Snag,Mortality rate of broadleaves,mortality rate of broadleafs,Note: not accounting for trees killed that immediately fall to ground,Low,
BP,30,Hardwood Merchantable,Black Carbon,Live broadleaf stemwood to black carbon (incomplete combustion) rate,0,live stemwood to BC should be precisely 0,Low,
BP,31,Hardwood Foliage,Hardwood Foliage,Green fraction of canopy,(1-Mortality)*(1-CFB),Ellen provides,Low,
